"sentence","positive_score","negative_score","positive_fuzzy","negative_fuzzy"
"goodby silverstein agency new site great","0.451","0.0","[0.0, 0.8836633663366337, 0.1163366336633663]","[1.0, 1.0, 1.0]"
"rt goodby silverstein s new site i enjoy it nice find","0.462","0.0","[0.0, 0.8564356435643564, 0.14356435643564355]","[1.0, 1.0, 1.0]"
"the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now","0.267","0.0","[0.33910891089108913, 0.6608910891089109, 0.0]","[1.0, 1.0, 1.0]"
"top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy","0.286","0.0","[0.29207920792079217, 0.7079207920792079, 0.0]","[1.0, 1.0, 1.0]"
"zomg i have a g","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"ok so lots of buzz from io but how lucky are they a free g","0.494","0.0","[0.0, 0.7772277227722774, 0.2227722772277227]","[1.0, 1.0, 1.0]"
"just got a free g android at google i o","0.398","0.0","[0.014851485148514863, 0.9851485148514851, 0.0]","[1.0, 1.0, 1.0]"
"guess i will be retiring my g and start using my developer g woot googleio","0.203","0.0","[0.4975247524752475, 0.5024752475247525, 0.0]","[1.0, 1.0, 1.0]"
"i am happy for philip being at googleio today","0.346","0.0","[0.1435643564356437, 0.8564356435643563, 0.0]","[1.0, 1.0, 1.0]"
"lakers played great cannot wait for thursday night lakers vs","0.448","0.0","[0.0, 0.8910891089108911, 0.10891089108910887]","[1.0, 1.0, 1.0]"
"judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best","0.258","0.127","[0.36138613861386143, 0.6386138613861386, 0.0]","[0.0, 0.0, 0.0]"
"viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh","0.0","0.149","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"watching night at the museum lmao","0.438","0.0","[0.0, 0.9158415841584159, 0.0841584158415841]","[1.0, 1.0, 1.0]"
"i loved night at the museum","0.494","0.0","[0.0, 0.7772277227722774, 0.2227722772277227]","[1.0, 1.0, 1.0]"
"just got back from the movies went to see the new night at the museum with rachel it was good","0.132","0.0","[0.6732673267326733, 0.32673267326732675, 0.0]","[1.0, 1.0, 1.0]"
"i will take you on a date to see night at the museum whenever you want it looks soooooo good","0.208","0.0","[0.4851485148514852, 0.5148514851485148, 0.0]","[1.0, 1.0, 1.0]"
"no watching the night at the museum getting really good","0.238","0.164","[0.4108910891089109, 0.589108910891089, 0.0]","[0.0, 0.0, 0.0]"
"night at the museum wolverine and junk food perfect monday","0.291","0.0","[0.2797029702970298, 0.7202970297029702, 0.0]","[1.0, 1.0, 1.0]"
"saw night at the museum last night pretty crazy movie but the cast was awesome so it was we will worth it robin williams forever","0.308","0.052","[0.23762376237623767, 0.7623762376237623, 0.0]","[0.0, 0.0, 0.0]"
"night at the museum tonite instead of up oh we will that yr old better enjoy it lol","0.372","0.0","[0.07920792079207928, 0.9207920792079207, 0.0]","[1.0, 1.0, 1.0]"
"it is unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable","0.085","0.095","[0.7896039603960396, 0.21039603960396042, 0.0]","[0.0, 0.0, 0.0]"
"tell me again why we are giving more to gm we should use that for all the programs that support the unemployed","0.203","0.0","[0.4975247524752475, 0.5024752475247525, 0.0]","[1.0, 1.0, 1.0]"
"oh yes but if gm dies it will only be worth more boo hahaha","0.464","0.0","[0.0, 0.8514851485148515, 0.1485148514851485]","[1.0, 1.0, 1.0]"
"time warner cable is down again rd time since memorial day bummer","0.0","0.191","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection","0.152","0.065","[0.6237623762376238, 0.3762376237623762, 0.0]","[0.0, 0.0, 0.0]"
"nooooooo my dvr just died and i was only half way through the ea presser hate you time warner","0.0","0.313","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit","0.0","0.343","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"time warner has the worse customer service ever i will never use them again","0.0","0.205","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"time warner is the devil worst possible time for the internet to go out","0.0","0.415","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"fuck no internet damn time warner","0.0","0.737","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff","0.0","0.195","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"i hate time warner soooo wish i had vios cannot watch the fricken mets game w o buffering i feel like i am watching free internet porn","0.291","0.127","[0.2797029702970298, 0.7202970297029702, 0.0]","[0.0, 0.0, 0.0]"
"ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday","0.207","0.115","[0.48762376237623767, 0.5123762376237623, 0.0]","[0.0, 0.0, 0.0]"
"time warner s hd line up is crap","0.0","0.302","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"is being fucked by time warner cable did not know modems could explode and susan boyle sucks too","0.0","0.301","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"time warner cable slogan where calling it a day at pm happens","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"recovering from surgery wishing was here","0.275","0.0","[0.3193069306930693, 0.6806930693069307, 0.0]","[1.0, 1.0, 1.0]"
"my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt","0.099","0.282","[0.754950495049505, 0.24504950495049505, 0.0]","[0.0, 0.0, 0.0]"
"the dentist lied u will not feel any discomort prob will not even need pain pills man u twippin this shit hurt how many pills can i take","0.08","0.302","[0.801980198019802, 0.19801980198019803, 0.0]","[0.0, 0.0, 0.0]"
"my dentist is great but she is expensive","0.267","0.0","[0.33910891089108913, 0.6608910891089109, 0.0]","[1.0, 1.0, 1.0]"
"is studing math tomorrow exam and dentist","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"my dentist was wrong wrong","0.0","0.674","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"going to the dentist later","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell","0.184","0.117","[0.5445544554455446, 0.4554455445544554, 0.0]","[0.0, 0.0, 0.0]"
"luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that","0.0","0.15","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"safeway is very rock n roll tonight","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"the safeway bathroom still smells like ass","0.227","0.318","[0.4381188118811881, 0.5618811881188119, 0.0]","[0.0, 0.0, 0.0]"
"at safeway on elkhorn they move like they are dead","0.169","0.291","[0.5816831683168316, 0.41831683168316836, 0.0]","[0.0, 0.0, 0.0]"
"i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol","0.388","0.1","[0.03960396039603964, 0.9603960396039604, 0.0]","[0.0, 0.0, 0.0]"
"found nothing at nike factory off to banana republic outlet","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"is lovin his nike already and that is only from running on the spot in his bedroom","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"i finally got around to using jquery to make my bio collapse yay for slide animations","0.173","0.163","[0.5717821782178218, 0.4282178217821782, 0.0]","[0.0, 0.0, 0.0]"
"right lol we will get there i have high expectations warren buffet style","0.203","0.0","[0.4975247524752475, 0.5024752475247525, 0.0]","[1.0, 1.0, 1.0]"
"rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet","0.194","0.0","[0.5198019801980198, 0.4801980198019802, 0.0]","[1.0, 1.0, 1.0]"
"warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune","0.151","0.0","[0.6262376237623762, 0.3737623762376237, 0.0]","[1.0, 1.0, 1.0]"
"according to the create a school notre dame will have receivers in ncaa at or higher rating sweet","0.254","0.0","[0.37128712871287134, 0.6287128712871287, 0.0]","[1.0, 1.0, 1.0]"
"it is definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle","0.371","0.0","[0.08168316831683176, 0.9183168316831682, 0.0]","[1.0, 1.0, 1.0]"
"time warner road runner customer support here absolutely blows i hate not having other high speed net options i am ready to go nuclear","0.185","0.141","[0.5420792079207921, 0.4579207920792079, 0.0]","[0.0, 0.0, 0.0]"
"time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not wtf","0.131","0.227","[0.6757425742574258, 0.32425742574257427, 0.0]","[0.0, 0.0, 0.0]"
"we tried but time warner wasn t being nice so we recorded today","0.252","0.0","[0.3762376237623763, 0.6237623762376238, 0.0]","[1.0, 1.0, 1.0]"
"omg time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"wth i have never seen a line this loooong at time warner before ugh","0.0","0.383","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"impatiently awaiting the arrival of the time warner guy it is way too pretty to be inside all afternoon","0.14","0.118","[0.6534653465346534, 0.34653465346534656, 0.0]","[0.0, 0.0, 0.0]"
"naive bayes using em for text classification really frustrating","0.0","0.431","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"we went to stanford university today got a tour made me want to go back to college it is also decided all of our kids will go there","0.048","0.0","[0.8811881188118812, 0.1188118811881188, 0.0]","[1.0, 1.0, 1.0]"
"if you are being harassed by calls about your car warranty changing your number will not fix that they call every number d bags","0.1","0.134","[0.7524752475247525, 0.24752475247524752, 0.0]","[0.0, 0.0, 0.0]"
"just blocked united blood services using google voice they call more than those car warranty guys","0.148","0.111","[0.6336633663366338, 0.3663366336633663, 0.0]","[0.0, 0.0, 0.0]"
"at amp t is complete fail","0.0","0.467","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"oh snap you work at at amp t don t you","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"i really do not want at amp t phone service they suck when it comes to having a signal","0.0","0.239","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"i say we just cut out the small talk at amp t s new slogan f__k you give us your money apologies to bob geldof","0.0","0.091","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"pissed about at amp t s mid contract upgrade price for the iphone it is more i am not going to pay for something i thought was","0.049","0.159","[0.8787128712871287, 0.12128712871287128, 0.0]","[0.0, 0.0, 0.0]"
"safari is fast even on my shitty at amp t tethering","0.0","0.286","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"what is at amp t fucking up","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"at amp t dropped the ball and isn t supporting crap with the new iphone fail att sucks","0.123","0.366","[0.6955445544554456, 0.3044554455445544, 0.0]","[0.0, 0.0, 0.0]"
"yay glad you got the phone still damn you at amp t","0.374","0.158","[0.07425742574257432, 0.9257425742574257, 0.0]","[0.0, 0.0, 0.0]"
"talk is cheap bing that i will stick with google","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye","0.173","0.127","[0.5717821782178218, 0.4282178217821782, 0.0]","[0.0, 0.0, 0.0]"
"i love google translator too d good day mate","0.587","0.0","[0.0, 0.5470297029702972, 0.4529702970297028]","[1.0, 1.0, 1.0]"
"reading on my new kindle","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"my kindle came and i love it","0.457","0.0","[0.0, 0.8688118811881188, 0.13118811881188117]","[1.0, 1.0, 1.0]"
"loving my new kindle named her kendra in case u we are wondering the cookbook is the tool cuz it tells u all the tricks best gift evr","0.319","0.043","[0.21039603960396044, 0.7896039603960395, 0.0]","[0.0, 0.0, 0.0]"
"the real aig scandal","0.0","0.492","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"obama is quite a good comedian check out his dinner speech on cnn very funny jokes","0.512","0.0","[0.0, 0.7326732673267327, 0.2673267326732673]","[1.0, 1.0, 1.0]"
"barack obama shows his funny side gt gt great speech","0.651","0.0","[0.0, 0.3886138613861387, 0.6113861386138614]","[1.0, 1.0, 1.0]"
"i like this guy barack obama shows his funny side gt gt","0.578","0.0","[0.0, 0.5693069306930695, 0.4306930693069305]","[1.0, 1.0, 1.0]"
"obama s speech was pretty awesome last night","0.593","0.0","[0.0, 0.5321782178217823, 0.4678217821782177]","[1.0, 1.0, 1.0]"
"reading bill clinton fail obama win","0.336","0.31","[0.16831683168316833, 0.8316831683168316, 0.0]","[0.0, 0.0, 0.0]"
"obama more popular than u s among arabs survey president barack obama s popularity in leading arab countries","0.323","0.0","[0.20049504950495053, 0.7995049504950495, 0.0]","[1.0, 1.0, 1.0]"
"obama s got jokes haha just got to watch a bit of his after dinner speech from last night i am in love with mr president","0.315","0.0","[0.22029702970297033, 0.7797029702970296, 0.0]","[1.0, 1.0, 1.0]"
"lebron james got in a car accident i guess just heard it on evening news wow i cannot believe it will he be ok","0.221","0.114","[0.452970297029703, 0.547029702970297, 0.0]","[0.0, 0.0, 0.0]"
"is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals","0.167","0.0","[0.5866336633663366, 0.4133663366336634, 0.0]","[1.0, 1.0, 1.0]"
"no lebron is the best","0.447","0.234","[0.0, 0.8935643564356436, 0.10643564356435639]","[0.0, 0.0, 0.0]"
"lebron is cool i like his personality he has good character","0.524","0.0","[0.0, 0.702970297029703, 0.297029702970297]","[1.0, 1.0, 1.0]"
"watching lebron highlights damn that niggas good","0.242","0.425","[0.400990099009901, 0.5990099009900989, 0.0]","[0.0, 0.0, 0.0]"
"lebron is murdering shit","0.0","0.798","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"lebron is a monsta and he is only smh the world ain t ready","0.169","0.155","[0.5816831683168316, 0.41831683168316836, 0.0]","[0.0, 0.0, 0.0]"
"when lebron is done in the nba he will probably be greater than kobe like u said kobe is good but there alot of good players","0.307","0.0","[0.24009900990099015, 0.7599009900990098, 0.0]","[1.0, 1.0, 1.0]"
"kobe is good bt lebron has my vote","0.293","0.0","[0.27475247524752483, 0.7252475247524751, 0.0]","[1.0, 1.0, 1.0]"
"kobe is the best in the world not lebron","0.344","0.0","[0.14851485148514865, 0.8514851485148514, 0.0]","[1.0, 1.0, 1.0]"
"world cup access damn that is a good look","0.25","0.233","[0.38118811881188125, 0.6188118811881188, 0.0]","[0.0, 0.0, 0.0]"
